"","clusterNum","med_rent_00","hhinc_all_00","pct_inc_rent_00","own_rate_00","shwhite_hh_00","ed1_ns_00"
"36005000200",14,-0.0798398242250694,-0.028089517851323,-0.387918339440276,1.06449955745995,-0.389384402472622,-0.264203827527073
"36005000400",19,-0.482614936629445,-0.240509009584267,1.113666685686,0.862015695790044,-0.447317405552848,-0.254954321019554
"36005001100",2,-1.18970902285046,-0.772798380945543,0.738270429404432,0.212817846696764,0.335603808742734,2.12766667370052
"36005001500",13,-0.102216219358645,-0.755051805836317,0.925968557545217,-1.42389222355249,-1.48416525833473,-1.10019233411561
"36005001600",18,-0.849587816820096,-0.831647965882222,-0.106371147229099,-0.788254543152238,-0.313188630210501,-0.425513136501372
"36005001700",2,-1.36424490489235,-1.01483145849905,1.80814975980691,-0.895434175040279,-0.946200987834224,1.94280844457776
"36005002000",20,-2.15636929262096,-1.38448884215722,-0.0312918959727853,-0.798796927993126,-0.863789440012869,0.507905320768806
"36005002300",20,-2.32195461660942,-1.47570300176119,-0.800854221350002,-1.39918343626008,-0.74053844712163,1.96022629415277
"36005002500",2,-1.82519864464403,-1.45801036760974,0.419183611565098,-1.30529004454892,-0.680373980682926,2.34052402222489
"36005002701",20,-2.16531985067439,-1.44549606540505,-0.294069275369884,-1.40324754557256,-0.648442031836562,1.3724826448351
"36005002702",2,-1.86100087685775,-1.52171463874651,0.569342114077726,-1.23342945354676,-0.682826439478329,2.25468558085558
"36005002800",5,-0.72428000407207,-0.328648534594841,-1.08240141356118,-1.16869877814876,-1.25912439084844,-0.547031012211634
"36005003100",17,-0.590021633270611,-0.717778604011159,-0.350378713812119,-1.42389222355249,-0.414551778469449,1.45452267313903
"36005003300",20,-2.10714122332709,-1.51022521473962,-0.162680585671335,-1.06674374378366,-0.875822591661355,1.68613067907784
"36005003500",20,-1.48060215958695,-1.17794891482217,-0.143910772857256,-1.19556464510762,-0.745099292309129,1.3998807055437
"36005003600",5,-1.12257983744973,-0.587241486186444,-1.38271841858644,-0.970791695630383,-0.744621203725054,-0.313467103988262
"36005003700",2,-0.397584635121855,-0.86940663632739,2.52140264674189,-1.42389222355249,-1.02089760179568,3.77058488632539
"36005003800",14,-0.16487012573266,0.0390669745832929,-0.59438628039514,0.0648992135873825,-0.304577434764993,-0.0642940645982385
"36005003900",2,-1.60590997233498,-1.35741048135226,0.043787355283529,-1.16766729620707,-0.615283256574188,2.05296393199765
"36005004001",19,-0.500516052736305,-0.629854842831701,1.41398369071126,0.167353678078729,-0.144464790453289,0.244546092832372
"36005004100",20,-2.14294345554081,-1.48988947365701,-0.162680585671335,-1.25994797611517,-0.68668716132666,1.54643608864138
"36005004300",20,-1.70436611092272,-1.1178047468988,-0.21899002411357,-0.892492850094941,-0.614875834165341,1.05105441355398
"36005004400",20,-2.27720182634227,-1.47424659590116,-0.744544782907767,-1.23987734994546,-0.66074326337286,0.448650028401151
"36005004600",20,-1.73121778508301,-1.21894404273406,-0.819624034164081,-1.42389222355249,-0.810072688341538,-0.746607077576133
"36005004700",20,-2.38908380201015,-1.54631171549365,-0.744544782907767,-1.37075228620674,-0.792328871442762,0.0108152815656931
"36005004800",2,-0.706378887965208,-1.0880293382049,1.54537238040981,-1.09740192332931,-0.582925452880161,2.75381402038921
"36005004900",2,-0.992796745674988,-0.78876490444807,-0.294069275369884,-1.2335770991049,-0.907071473849278,3.06531397657827
"36005005000",12,-0.585546354243895,-1.07362710247795,1.84568938543506,-1.05760846224818,-0.621923249359706,1.47666308073184
"36005005200",20,-1.97288285252563,-1.45676972558082,-0.0500617087868634,-1.08653841917931,-0.576700630470304,1.36955887374513
"36005005302",17,-0.782458631419368,-1.34139001689196,1.26382518819863,-1.35358680816378,-1.14093327637659,1.47845442964727
"36005005400",17,-0.500516052736305,-1.0668844827556,0.907198744731138,-0.720329071182903,-0.636762768941463,1.08299874486039
"36005005600",12,-0.509466610789738,-1.51524172381305,2.54017245955597,-0.944894732755339,-0.628686699339305,0.710122944934253
"36005005700",5,-0.142493730599084,-0.487936182915658,-0.613156093209218,-0.629965696939046,-0.89774035544342,-1.10019233411561
"36005005901",17,-0.455763262469153,-0.90182515195245,0.494262862821412,-1.18277828379874,-0.932197275288734,1.09987194078458
"36005005902",13,-0.178295962812806,-0.464741571070771,0.794579867846668,-0.688980311747402,-0.755847529621974,-0.0353260592013801
"36005006000",18,-0.715329446018637,-0.543387487512273,-0.763314595721845,-1.08013875351369,-0.382956149931426,0.423553480835186
"36005006100",5,-1.04650009399557,-0.507570691547144,-0.725774970093689,0.42273341019064,-1.23589528282502,0.356854903314118
"36005006200",20,-1.51192911277396,-1.25993917064595,-0.237759836927648,-1.22018913039376,-0.902730779258182,0.717918656250321
"36005006400",17,-0.0306117549312176,-0.31597240951682,0.869659119102982,-0.390249902437717,-0.765467608790499,0.652746017103779
"36005006500",17,-1.055450652049,-1.23043346674095,0.963508183173374,-1.35300722947061,-0.641061921009619,1.07507399730893
"36005006600",12,-0.285702659453972,-0.746043665887255,1.28259500101271,-0.772316629479558,-0.494011012145344,0.124090995860837
"36005006700",20,-1.76254473827001,-1.25929187915261,-0.237759836927648,-1.25396479766536,-0.702474161157113,1.00516816750015
"36005006800",5,0.0902207787901182,-0.70817711352653,-0.481767403510668,-0.724281865428386,-0.88787057159283,-0.827662983139158
"36005006900",20,-2.02658620084621,-1.58541890988328,0.606881739705883,-1.26045893767067,-0.743048176897214,1.47358446408776
"36005007000",18,-0.178295962812806,-0.439281438999176,0.193945857796157,-0.145018005163816,-0.363714635890302,-0.221132397314888
"36005007100",17,-1.65066276260213,-0.433240051727947,0.531802488449569,0.355140461501046,-0.698434070668102,0.677648550247546
"36005007200",17,-0.303603775560832,-0.50697734101158,0.475493050007334,-0.609724337555847,-0.489588903776657,0.772650414104282
"36005007300",20,-1.13600567452988,-1.01968614469914,-0.106371147229099,-1.42389222355249,-0.806974263311791,0.746131160997405
"36005007400",5,-0.402059914148568,0.0247726207719063,-0.59438628039514,-0.123581061022452,-0.893214380012325,-0.447158413422411
"36005007500",20,-1.33291795170535,-1.08926998023381,0.175176044982078,-0.514027839452268,-0.909376161486999,0.430546570301983
"36005007700",12,-0.697428329911778,-1.00156198288547,2.74664040051083,-0.176293396017078,-0.71034893910597,1.19339436808772
"36005007800",18,-0.142493730599084,-0.351303736861939,0.00624772965537216,-0.404392684845044,-0.363669251697602,0.598680827892881
"36005007900",20,-1.62381108844184,-1.39657161669968,-0.0125220831587066,-1.38861829962471,-0.724176733167297,1.33412718540682
